Assembly_No,TCPD_Prof_Main,MLAs_var
13,Agriculture,12
13,Business,38
13,Former Government,1
13,Labourer or Daily Wage,1
13,Liberal Profession or Professional,14
13,Other,2
13,Politics,11
13,Retired or Pension,1
13,Salaried Work or Employed,4
13,Small Business or Self-employed,2
13,Social Work,2
13,Unknown,2
12,Agriculture,16
12,Business,34
12,Education,1
12,Former Government,1
12,Labourer or Daily Wage,1
12,Liberal Profession or Professional,11
12,Politics,10
12,Retired or Pension,4
12,Salaried Work or Employed,3
12,Small Business or Self-employed,2
12,Social Work,4
12,Unknown,3
11,Other,79
11,Unknown,11
10,Other,90
