Assembly_No,TCPD_Prof_Main,MLAs_var
12,Agriculture,59
12,Business,69
12,Education,1
12,Former Government,1
12,Liberal Profession or Professional,32
12,Other,22
12,Politics,20
12,Retired or Pension,1
12,Salaried Work or Employed,4
12,Small Business or Self-employed,5
12,Social Work,7
12,Unemployed,1
12,Unknown,12
11,Agriculture,19
11,Business,32
11,Education,1
11,Liberal Profession or Professional,17
11,Other,7
11,Politics,8
11,Retired or Pension,3
11,Salaried Work or Employed,3
11,Small Business or Self-employed,3
11,Social Work,3
11,Unknown,136
10,Agricultural Labour,2
10,Agriculture,59
10,Business,71
10,Education,1
10,Labourer or Daily Wage,2
10,Liberal Profession or Professional,29
10,Other,16
10,Politics,24
10,Salaried Work or Employed,5
10,Small Business or Self-employed,6
10,Social Work,9
10,Unknown,10
9,Other,221
9,Unknown,13
