Assembly_No,TCPD_Prof_Main,MLAs_var
5,Agricultural Labour,1
5,Agriculture,8
5,Business,19
5,Liberal Profession or Professional,2
5,Other,16
5,Politics,12
5,Retired or Pension,5
5,Salaried Work or Employed,4
5,Social Work,3
4,Agriculture,17
4,Business,21
4,Liberal Profession or Professional,4
4,Other,6
4,Politics,11
4,Religious Occupation,1
4,Retired or Pension,1
4,Salaried Work or Employed,3
4,Small Business or Self-employed,2
4,Social Work,4
3,Agriculture,21
3,Business,15
3,Education,2
3,Former Government,1
3,Liberal Profession or Professional,3
3,Other,15
3,Politics,3
3,Retired or Pension,2
3,Salaried Work or Employed,1
3,Small Business or Self-employed,1
3,Social Work,3
3,Unknown,3
2,Other,66
2,Unknown,3
