State_Name,Assembly_No,Year,Women_Percentage
Lok_Sabha,17,2019,14.36
Lok_Sabha,16,2014,11.6
Lok_Sabha,15,2009,10.68
Lok_Sabha,14,2004,8.66
Lok_Sabha,13,1999,9.39
Lok_Sabha,12,1998,8.29
Lok_Sabha,11,1996,7.73
Lok_Sabha,10,1991,7.87
Lok_Sabha,9,1989,5.86
Lok_Sabha,8,1984,8.32
Lok_Sabha,7,1980,5.67
Lok_Sabha,6,1977,3.51
Lok_Sabha,5,1971,5.21
Lok_Sabha,4,1967,6.15
Lok_Sabha,3,1962,7.29
Andaman_&_Nicobar_Islands,17,2019,0
Andhra_Pradesh,17,2019,16
Arunachal_Pradesh,17,2019,0
Assam,17,2019,7.14
Bihar,17,2019,7.5
Chandigarh,17,2019,100
Chhattisgarh,17,2019,27.27
Dadra_&_Nagar_Haveli,17,2019,0
Daman_&_Diu,17,2019,0
Delhi,17,2019,14.29
Goa,17,2019,0
Gujarat,17,2019,23.08
Haryana,17,2019,10
Himachal_Pradesh,17,2019,0
Jammu_&_Kashmir,17,2019,0
Jharkhand,17,2019,14.29
Karnataka,17,2019,7.14
Kerala,17,2019,5
Lakshadweep,17,2019,0
Madhya_Pradesh,17,2019,13.79
Maharashtra,17,2019,16.67
Manipur,17,2019,0
Meghalaya,17,2019,50
Mizoram,17,2019,0
Nagaland,17,2019,0
Odisha,17,2019,33.33
Puducherry,17,2019,0
Punjab,17,2019,15.38
Rajasthan,17,2019,12
Sikkim,17,2019,0
Tamil_Nadu,17,2019,7.69
Telangana,17,2019,5.88
Tripura,17,2019,50
Uttar_Pradesh,17,2019,13.75
Uttarakhand,17,2019,20
West_Bengal,17,2019,26.19
Andaman_&_Nicobar_Islands,16,2014,0
Andhra_Pradesh,16,2014,7.14
Arunachal_Pradesh,16,2014,0
Assam,16,2014,14.29
Bihar,16,2014,7.5
Chandigarh,16,2014,100
Chhattisgarh,16,2014,9.09
Dadra_&_Nagar_Haveli,16,2014,0
Daman_&_Diu,16,2014,0
Delhi,16,2014,14.29
Goa,16,2014,0
Gujarat,16,2014,15.38
Haryana,16,2014,0
Himachal_Pradesh,16,2014,0
Jammu_&_Kashmir,16,2014,16.67
Jharkhand,16,2014,0
Karnataka,16,2014,3.57
Kerala,16,2014,10
Lakshadweep,16,2014,0
Madhya_Pradesh,16,2014,17.24
Maharashtra,16,2014,10.42
Manipur,16,2014,0
Meghalaya,16,2014,0
Mizoram,16,2014,0
Nagaland,16,2014,0
Odisha,16,2014,9.52
Puducherry,16,2014,0
Punjab,16,2014,7.69
Rajasthan,16,2014,4
Sikkim,16,2014,0
Tamil_Nadu,16,2014,10.26
Tripura,16,2014,0
Uttar_Pradesh,16,2014,16.25
Uttarakhand,16,2014,20
West_Bengal,16,2014,28.57
Andaman_&_Nicobar_Islands,15,2009,0
Andhra_Pradesh,15,2009,11.9
Arunachal_Pradesh,15,2009,0
Assam,15,2009,14.29
Bihar,15,2009,10
Chandigarh,15,2009,0
Chhattisgarh,15,2009,18.18
Dadra_&_Nagar_Haveli,15,2009,0
Daman_&_Diu,15,2009,0
Delhi,15,2009,14.29
Goa,15,2009,0
Gujarat,15,2009,15.38
Haryana,15,2009,20
Himachal_Pradesh,15,2009,0
Jammu_&_Kashmir,15,2009,0
Jharkhand,15,2009,0
Karnataka,15,2009,3.57
Kerala,15,2009,0
Lakshadweep,15,2009,0
Madhya_Pradesh,15,2009,20.69
Maharashtra,15,2009,6.25
Manipur,15,2009,0
Meghalaya,15,2009,50
Mizoram,15,2009,0
Nagaland,15,2009,0
Odisha,15,2009,0
Puducherry,15,2009,0
Punjab,15,2009,30.77
Rajasthan,15,2009,12
Sikkim,15,2009,0
Tamil_Nadu,15,2009,2.56
Tripura,15,2009,0
Uttar_Pradesh,15,2009,15
Uttarakhand,15,2009,0
West_Bengal,15,2009,16.67
Andaman_&_Nicobar_Islands,14,2004,0
Andhra_Pradesh,14,2004,7.14
Arunachal_Pradesh,14,2004,0
Assam,14,2004,0
Bihar,14,2004,7.5
Chandigarh,14,2004,0
Chhattisgarh,14,2004,9.09
Dadra_&_Nagar_Haveli,14,2004,0
Daman_&_Diu,14,2004,0
Delhi,14,2004,14.29
Goa,14,2004,0
Gujarat,14,2004,3.85
Haryana,14,2004,10
Himachal_Pradesh,14,2004,25
Jammu_&_Kashmir,14,2004,16.67
Jharkhand,14,2004,7.14
Karnataka,14,2004,7.14
Kerala,14,2004,10
Lakshadweep,14,2004,0
Madhya_Pradesh,14,2004,10.34
Maharashtra,14,2004,10.42
Manipur,14,2004,0
Meghalaya,14,2004,0
Mizoram,14,2004,0
Nagaland,14,2004,0
Odisha,14,2004,9.52
Puducherry,14,2004,0
Punjab,14,2004,15.38
Rajasthan,14,2004,12
Sikkim,14,2004,0
Tamil_Nadu,14,2004,10.26
Tripura,14,2004,0
Uttar_Pradesh,14,2004,8.75
Uttarakhand,14,2004,0
West_Bengal,14,2004,9.52
Andaman_&_Nicobar_Islands,13,1999,0
Andhra_Pradesh,13,1999,9.52
Arunachal_Pradesh,13,1999,0
Assam,13,1999,21.43
Bihar,13,1999,9.26
Chandigarh,13,1999,0
Dadra_&_Nagar_Haveli,13,1999,0
Daman_&_Diu,13,1999,0
Delhi,13,1999,14.29
Goa,13,1999,0
Gujarat,13,1999,11.54
Haryana,13,1999,20
Himachal_Pradesh,13,1999,0
Jammu_&_Kashmir,13,1999,0
Karnataka,13,1999,7.14
Kerala,13,1999,5
Lakshadweep,13,1999,0
Madhya_Pradesh,13,1999,7.5
Maharashtra,13,1999,8.33
Manipur,13,1999,0
Meghalaya,13,1999,0
Mizoram,13,1999,0
Nagaland,13,1999,0
Odisha,13,1999,9.52
Puducherry,13,1999,0
Punjab,13,1999,15.38
Rajasthan,13,1999,16
Sikkim,13,1999,0
Tamil_Nadu,13,1999,2.56
Tripura,13,1999,0
Uttar_Pradesh,13,1999,10.59
West_Bengal,13,1999,11.9
Andaman_&_Nicobar_Islands,12,1998,0
Andhra_Pradesh,12,1998,4.76
Arunachal_Pradesh,12,1998,0
Assam,12,1998,14.29
Bihar,12,1998,7.41
Chandigarh,12,1998,0
Dadra_&_Nagar_Haveli,12,1998,0
Daman_&_Diu,12,1998,0
Delhi,12,1998,28.57
Goa,12,1998,0
Gujarat,12,1998,15.38
Haryana,12,1998,10
Himachal_Pradesh,12,1998,0
Jammu_&_Kashmir,12,1998,0
Karnataka,12,1998,0
Kerala,12,1998,5
Lakshadweep,12,1998,0
Madhya_Pradesh,12,1998,10
Maharashtra,12,1998,4.17
Manipur,12,1998,50
Meghalaya,12,1998,0
Mizoram,12,1998,0
Nagaland,12,1998,0
Odisha,12,1998,9.52
Puducherry,12,1998,0
Punjab,12,1998,7.69
Rajasthan,12,1998,12
Sikkim,12,1998,0
Tamil_Nadu,12,1998,2.56
Tripura,12,1998,0
Uttar_Pradesh,12,1998,10.59
West_Bengal,12,1998,14.29
Andaman_&_Nicobar_Islands,11,1996,0
Andhra_Pradesh,11,1996,7.14
Arunachal_Pradesh,11,1996,0
Assam,11,1996,7.14
Bihar,11,1996,5.56
Chandigarh,11,1996,0
Dadra_&_Nagar_Haveli,11,1996,0
Daman_&_Diu,11,1996,0
Delhi,11,1996,28.57
Goa,11,1996,0
Gujarat,11,1996,7.69
Haryana,11,1996,10
Himachal_Pradesh,11,1996,0
Jammu_&_Kashmir,11,1996,0
Karnataka,11,1996,3.57
Kerala,11,1996,0
Lakshadweep,11,1996,0
Madhya_Pradesh,11,1996,15
Maharashtra,11,1996,4.17
Manipur,11,1996,0
Meghalaya,11,1996,0
Mizoram,11,1996,0
Nagaland,11,1996,0
Odisha,11,1996,9.52
Puducherry,11,1996,0
Punjab,11,1996,7.69
Rajasthan,11,1996,16
Sikkim,11,1996,0
Tamil_Nadu,11,1996,0
Tripura,11,1996,0
Uttar_Pradesh,11,1996,10.59
West_Bengal,11,1996,11.9
