Assembly_No,TCPD_Prof_Main,MLAs_var
14,Agriculture,1
14,Business,4
14,Education,1
14,Former Government,5
14,Liberal Profession or Professional,4
14,Other,5
14,Politics,29
14,Retired or Pension,2
14,Salaried Work or Employed,1
14,Social Work,8
13,Agriculture,1
13,Business,3
13,Former Government,5
13,Other,7
13,Politics,36
13,Retired or Pension,1
13,Small Business or Self-employed,1
13,Social Work,5
13,Unemployed,1
12,Business,4
12,Former Government,3
12,Other,5
12,Politics,40
12,Social Work,8
11,Other,56
11,Unknown,4
